Key,"Where it appears",English,Language,"Current translation",Status,"Correction (fill in if wrong)"
nav.call,"Top menu / header",Call,Hindi,फ़ोन,"HAND-CORRECTED - please confirm",
nav.call,"Top menu / header",Call,Gujarati,ફોન,"HAND-CORRECTED - please confirm",
nav.email,"Top menu / header",Email,Hindi,ईमेल,"HAND-CORRECTED - please confirm",
nav.email,"Top menu / header",Email,Gujarati,ઈમેલ,"HAND-CORRECTED - please confirm",
nav.language,"Top menu / header",Language,Hindi,भाषा,"HAND-CORRECTED - please confirm",
nav.language,"Top menu / header",Language,Gujarati,ભાષા,"HAND-CORRECTED - please confirm",
nav.home,"Top menu / header",Home,Hindi,होम,"HAND-CORRECTED - please confirm",
nav.home,"Top menu / header",Home,Gujarati,હોમ,"HAND-CORRECTED - please confirm",
nav.products,"Top menu / header",Products,Hindi,उत्पाद,"HAND-CORRECTED - please confirm",
nav.products,"Top menu / header",Products,Gujarati,ઉત્પાદનો,"HAND-CORRECTED - please confirm",
nav.about,"Top menu / header","About Us",Hindi,"हमारे बारे में","HAND-CORRECTED - please confirm",
nav.about,"Top menu / header","About Us",Gujarati,"અમારા વિશે","HAND-CORRECTED - please confirm",
nav.about.overview,"Top menu / header","Company Overview",Hindi,"कंपनी परिचय","HAND-CORRECTED - please confirm",
nav.about.overview,"Top menu / header","Company Overview",Gujarati,"કંપની પરિચય","HAND-CORRECTED - please confirm",
nav.about.ceo,"Top menu / header","CEO's Desk",Hindi,"सीईओ की कलम से","HAND-CORRECTED - please confirm",
nav.about.ceo,"Top menu / header","CEO's Desk",Gujarati,"સીઈઓની કલમે","HAND-CORRECTED - please confirm",
nav.career,"Top menu / header",Career,Hindi,करियर,"HAND-CORRECTED - please confirm",
nav.career,"Top menu / header",Career,Gujarati,કારકિર્દી,"HAND-CORRECTED - please confirm",
nav.contact,"Top menu / header","Contact Us",Hindi,"संपर्क करें","HAND-CORRECTED - please confirm",
nav.contact,"Top menu / header","Contact Us",Gujarati,"સંપર્ક કરો","HAND-CORRECTED - please confirm",
nav.download_profile,"Top menu / header","DOWNLOAD PROFILE",Hindi,"प्रोफ़ाइल डाउनलोड करें","HAND-CORRECTED - please confirm",
nav.download_profile,"Top menu / header","DOWNLOAD PROFILE",Gujarati,"પ્રોફાઇલ ડાઉનલોડ કરો","HAND-CORRECTED - please confirm",
nav.quick_inquiry,"Top menu / header","Quick Inquiry",Hindi,"त्वरित पूछताछ","HAND-CORRECTED - please confirm",
nav.quick_inquiry,"Top menu / header","Quick Inquiry",Gujarati,"ઝડપી પૂછપરછ","HAND-CORRECTED - please confirm",
footer.call.title,"Footer (every page)","Have a question? call us now",Hindi,"कोई प्रश्न है? हमें अभी फ़ोन करें।","machine translated - please check",
footer.call.title,"Footer (every page)","Have a question? call us now",Gujarati,"કોઈ પ્રશ્ન પૂછવા માંગો છો? અમને હમણાં કૉલ કરો","machine translated - please check",
footer.email.title,"Footer (every page)","Need support? Drop us an email",Hindi,"सहायता चाहिए? हमें ईमेल करें","HAND-CORRECTED - please confirm",
footer.email.title,"Footer (every page)","Need support? Drop us an email",Gujarati,"સહાય જોઈએ છે? અમને ઈમેલ કરો","HAND-CORRECTED - please confirm",
footer.hours.title,"Footer (every page)","We are open on",Hindi,"हमारा कार्य समय","HAND-CORRECTED - please confirm",
footer.hours.title,"Footer (every page)","We are open on",Gujarati,"અમારો કાર્ય સમય","HAND-CORRECTED - please confirm",
footer.hours.value,"Footer (every page)","Mon – Sat  9:30 am – 6:00 pm<br>Sunday – Closed",Hindi,"सोमवार - शनिवार सुबह 9:30 - शाम 6:00 बजे<br>रविवार - बंद","machine translated - please check",
footer.hours.value,"Footer (every page)","Mon – Sat  9:30 am – 6:00 pm<br>Sunday – Closed",Gujarati,"મોન-સેટ 9:30 am - 6:00 pm<br>રવિવાર - બંધ","machine translated - please check",
footer.products.title,"Footer (every page)","Our Products",Hindi,"हमारे उत्पाद","HAND-CORRECTED - please confirm",
footer.products.title,"Footer (every page)","Our Products",Gujarati,"અમારા ઉત્પાદનો","HAND-CORRECTED - please confirm",
footer.about,"Footer (every page)","Our products and solution come out of years on field experience of treating complex effluents and facing the most challenging problems in waste water and utility water management (Cooling towers and boilers). Supply of all Our chemicals and services have always been aligned to the protection of the customer’s assets and environmental compliances.",Hindi,"हमारे pROducts और समाधान जटिल अपशिष्ट जल और उपयोगिता जल प्रबंधन (शीतलन टावरों और बॉयलरों) में सबसे चुनौतीपूर्ण pROblems का सामना करने के वर्षों के क्षेत्र अनुभव से आते हैं। हमारे सभी रसायनों और सेवाओं की आपूर्ति हमेशा ग्राहक की परिसंपत्तियों और पर्यावरणीय अनुपालन के संरक्षण के साथ संरेखित की गई है।","machine translated - please check",
footer.about,"Footer (every page)","Our products and solution come out of years on field experience of treating complex effluents and facing the most challenging problems in waste water and utility water management (Cooling towers and boilers). Supply of all Our chemicals and services have always been aligned to the protection of the customer’s assets and environmental compliances.",Gujarati,"અમારા pROducts અને સોલ્યુશન વર્ષોના ક્ષેત્ર અનુભવમાંથી આવે છે, જેમાં જટિલ ગંદા પાણી અને કચરાના પાણી અને ઉપયોગિતા પાણી વ્યવસ્થાપન (કૂલિંગ ટાવર્સ અને બોઈલર્સ) માં સૌથી પડકારજનક મુદ્દાઓનો સામનો કરવો પડે છે. અમારા તમામ રસાયણો અને સેવાઓનો પુરવઠો હંમેશા ગ્રાહકની સંપત્તિના પીએક્સક્યુ0ક્યુએક્સટેક્શન અને પર્યાવરણીય પાલન સાથે સુસંગત રહ્યો છે.","machine translated - please check",
footer.copyright,"Footer (every page)","Copyright © 2021&nbsp;<a href=""#"">Raybon chemicals</a>. Developed by <a href=""http://www.backyardcommunication.com"" target=""_blank"">Backyard Communication</a>. All rights reserved.",Hindi,"कॉपीराइट © 2021 <a href=""#"">Raybon Chemicals</a>. <a href=""http://www.backyardcommunication.com"" target=""_blank"">Backyard Communication</a> द्वारा विकसित। सभी अधिकार सुरक्षित हैं।","machine translated - please check",
